id,duration,name,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
404,0.570769,None,2012-07-11 15:49:29,2013-02-05 11:07:40,34.2904,113.3824,34.2904,113.3824
405,1.720082,None,2013-02-05 23:53:17,2014-10-26 19:48:23,34.2904,113.3824,27.0875,114.9042
406,1.315574,MG742387|CH/JXJGS11/2016|Jiangxi|NA|2016-02-19,2014-10-27 04:19:33,2016-02-19 12:00:00,27.0875,114.9042,27.0875,114.9042
407,1.137465,KU710238|JX/2015/1221|Jiangxi|NA|2015-12,2014-10-26 19:48:23,2015-12-15 23:59:59,27.0875,114.9042,27.0875,114.9042
408,0.079677,None,2013-02-05 11:07:40,2013-03-06 13:05:54,34.2904,113.3824,34.2904,113.3824
409,1.778563,KX073609|GZKY|Guizhou|NA|2014-12,2013-03-06 19:47:17,2014-12-15 23:59:59,34.2904,113.3824,26.843,107.2903
410,0.963017,None,2013-03-06 13:05:54,2014-02-21 01:07:38,34.2904,113.3824,34.2904,113.3824
411,2.649208,MK111633|CH/HNAY/2016|Henan|Huaxian|2016-10,2014-02-21 04:59:23,2016-10-15 23:00:00,34.2904,113.3824,34.2904,113.3824
412,0.290315,None,2014-02-21 01:07:38,2014-06-07 00:17:12,34.2904,113.3824,34.2904,113.3824
413,1.022313,KU977516|CH/HNPY|Henan|Puyang|2015-06,2014-06-07 19:32:17,2015-06-15 22:59:59,34.2904,113.3824,34.2904,113.3824
414,0.77257,KU977501|CH/HNAY|Henan|Anyang|2015-03,2014-06-07 00:17:12,2015-03-16 00:00:00,34.2904,113.3824,34.2904,113.3824
415,0.211825,None,2012-07-12 12:11:52,2012-09-28 00:52:07,34.2904,113.3824,34.2904,113.3824
416,5.302045,MK395344|FJ/YC/2018/110|Fujian|NA|2018-01,2012-09-27 11:49:22,2018-01-16 00:00:00,34.2904,113.3824,26.4837,117.9249
417,1.329142,None,2012-09-28 00:52:07,2014-01-26 10:22:46,34.2904,113.3824,35.894,117.9249
418,4.413769,MK656505|JN1806-24|Jilin|NA|2018-06-26,2014-01-26 10:23:00,2018-06-26 11:00:00,35.894,117.9249,43.8379,126.5496
419,0.178153,KU133236|CH-SDDP-1-2014|Shandong|Taian|2014-04-01,2014-01-26 10:22:46,2014-04-01 11:00:00,35.894,117.9249,35.894,117.9249
420,6.192592,MN617864|CH/SCLS-1/2018|Sichuan|NA|2018-04-29,2012-02-18 07:03:39,2018-04-29 11:00:00,34.2904,113.3824,30.2638,102.8055
421,2.187647,None,2012-01-08 11:48:52,2014-03-17 23:06:40,34.2904,113.3824,23.379,113.7633
422,0.638859,None,2014-03-18 00:06:39,2014-11-06 04:30:56,23.379,113.7633,23.379,113.7633
423,2.283046,MH991827|B10-GD2017|Guangdong|NA|2017-02-17,2014-11-06 04:31:01,2017-02-17 11:59:59,23.379,113.7633,23.379,113.7633
424,3.214553,MH991850|S1-GD2018|Guangdong|NA|2018-01-23,2014-11-06 04:30:56,2018-01-23 12:00:00,23.379,113.7633,23.379,113.7633
425,3.593138,MH991836|L6-HB2017|Hubei|NA|2017-10-20,2014-03-17 23:06:40,2017-10-20 10:59:59,23.379,113.7633,30.7378,112.2384
426,0.035829,None,2010-07-04 21:27:20,2010-07-17 23:19:03,34.2904,113.3824,33.1402,119.7889
427,1.258133,None,2010-07-17 15:16:57,2011-10-19 20:31:39,33.1402,119.7889,33.1402,119.7889
428,5.568597,MG132634|HB1605|Hebei|NA|2017-05,2011-10-20 10:05:25,2017-05-15 23:00:00,33.1402,119.7889,37.8957,114.9042
429,0.24138,KM609206|PEDV-10F|Jiangsu|NA|2012-01,2011-10-19 20:31:39,2012-01-15 23:59:59,33.1402,119.7889,33.1402,119.7889
430,0.625762,None,2010-07-17 23:19:03,2011-03-03 08:59:33,33.1402,119.7889,34.2904,113.3824
431,5.412958,KX812524|XM2-4|Fujian|NA|2016-08-01,2011-03-04 03:29:26,2016-08-01 10:59:59,34.2904,113.3824,26.4837,117.9249
432,0.755974,None,2011-03-03 08:59:33,2011-12-04 07:19:30,34.2904,113.3824,33.1402,119.7889
433,1.947689,None,2011-12-05 01:51:10,2013-11-15 23:36:30,33.1402,119.7889,33.1402,119.7889
434,1.835386,KU710249|SH/2015/921|Shanghai|NA|2015-09,2013-11-15 01:01:07,2015-09-15 22:59:59,33.1402,119.7889,31.2304,121.4737
435,0.475273,KU252649|YC2014|Jiangsu|Yancheng|2014-05-08,2013-11-15 23:36:30,2014-05-08 10:59:59,33.1402,119.7889,33.1402,119.7889
436,2.360063,None,2011-12-04 07:19:30,2014-04-14 17:28:36,33.1402,119.7889,33.1402,119.7889
437,0.479331,None,2014-04-15 13:00:41,2014-10-07 11:57:04,33.1402,119.7889,33.1402,119.7889
438,0.178334,None,2014-10-06 09:42:38,2014-12-10 11:54:59,33.1402,119.7889,33.1402,119.7889
439,0.101321,MG198654|JSSQ1501|Jiangsu|Suqian|2015-01,2014-12-10 00:25:40,2015-01-16 00:00:00,33.1402,119.7889,33.1402,119.7889
440,0.513594,MG198656|JSSQ1506|Jiangsu|Suqian|2015-06,2014-12-10 11:54:59,2015-06-15 22:59:59,33.1402,119.7889,33.1402,119.7889
441,0.403644,None,2014-10-07 11:57:04,2015-03-03 19:52:21,33.1402,119.7889,33.1402,119.7889
442,0.244653,None,2015-03-03 04:05:22,2015-05-31 11:14:59,33.1402,119.7889,33.1402,119.7889
443,0.208158,MG198658|JSSQ1508|Jiangsu|Suqian|2015-08,2015-05-31 23:32:09,2015-08-15 23:00:00,33.1402,119.7889,33.1402,119.7889
444,0.124629,MG198657|JSSQ1507|Jiangsu|Suqian|2015-07,2015-05-31 11:14:59,2015-07-15 22:59:59,33.1402,119.7889,33.1402,119.7889
445,0.28059,None,2015-03-03 19:52:21,2015-06-14 05:50:27,33.1402,119.7889,33.1402,119.7889
446,0.030152,MG198661|JSSQLH15|Jiangsu|Suqian|2015,2015-06-19 22:52:06,2015-06-30 23:00:00,33.1402,119.7889,33.1402,119.7889
447,1.560566,None,2015-06-14 05:50:27,2017-01-04 20:23:56,33.1402,119.7889,30.2638,102.8055
448,0.899798,None,2017-01-04 20:24:08,2017-11-29 06:37:58,30.2638,102.8055,30.2638,102.8055
449,1.175956,SS-SX-LL|SX-LL|Shanxi|lvliang|2019-02-01,2017-11-29 06:37:31,2019-02-01 12:00:00,30.2638,102.8055,37.2426,111.8569
450,0.237156,None,2017-11-29 06:37:58,2018-02-23 20:07:09,30.2638,102.8055,30.2638,102.8055
451,0.756303,None,2018-02-23 20:07:08,2018-11-26 21:20:00,30.2638,102.8055,30.2638,102.8055
452,0.212633,SS-SC-MY|SC-MY|Sichuan|Mianyang|2019-02-12,2018-11-26 21:20:05,2019-02-12 11:59:59,30.2638,102.8055,30.2638,102.8055
453,0.204414,SS-SC-CD|SC-CD|Sichuan|Chengdu|2019-02-09,2018-11-26 21:20:00,2019-02-09 12:00:00,30.2638,102.8055,30.2638,102.8055
454,0.251682,None,2018-02-23 20:07:09,2018-05-26 16:51:13,30.2638,102.8055,29.4316,106.9123
